N,Time
10.0,0.10406346321105957
15.0,0.1809140682220459
20.0,0.27493796348571775
25.0,0.40296597480773927
30.0,0.49718165397644043
35.0,0.6304031372070312
40.0,0.7921906471252441
45.0,0.9470641613006592
50.0,1.2227668762207031
55.0,1.5034139633178711
60.0,1.7016845226287842
65.0,1.7081703662872314
70.0,1.9464855670928956
75.0,2.5634711742401124
80.0,2.5390106201171876
85.0,3.016530418395996
90.0,3.280626153945923
95.0,3.2481118202209474
100.0,3.6971226215362547
